Time treatment begin,Treatment total cost
1023,2.7692
1024,2.7692
1025,2.7692
1026,2.7692
1027,2.7692
1028,2.7692
1029,2.7692
1030,2.7692
1031,2.7692
1032,2.7692
1033,2.7692
1034,2.7692
1035,2.7692
1036,2.7692
1037,2.7692
1038,2.7692
1039,2.7692
1040,2.7692
1041,2.7692
1042,2.7692
1043,2.7692
1044,2.7692
1045,2.7692
1046,2.7692
1047,2.7692
1048,2.7692
1049,2.7692
1050,2.7692
1051,2.7692
1052,2.7692
1053,2.7692
1054,2.7692
1055,2.7692
1056,2.7692
1057,2.7692
1058,2.7692
1059,2.7692
1060,2.7692
1061,2.7692
1062,2.7692
1063,2.7692
1064,2.7692
1065,2.7692
1066,2.7692
1067,2.7692
1068,2.7692
1069,2.7692
1070,2.7692
1071,2.7692
1072,2.7692
1073,2.7692
1074,2.7692
1075,2.7692
1076,2.7692
1077,2.7692
1078,2.7692
1079,2.7692
1080,2.7692
1081,2.7692
1082,2.7692
1083,2.7692
1084,2.7692
1085,2.7692
1086,2.7692
1087,2.7692
1088,2.7692
1089,2.7692
1090,2.7692
1091,2.7692
1092,2.7692
1093,2.7692
1094,2.7692
1095,2.7692
1096,2.7692
1097,2.7692
1098,2.7692
1099,2.7692
1100,2.7692
1101,2.7692
1102,2.7692
1103,2.7692
1104,2.7692
1105,2.7692
1106,2.7692
1107,2.7692
1108,2.7692
1109,2.7692
1110,2.7692
1111,2.7692
1112,2.7692
1113,2.7692
1114,2.7692
1115,2.7692
1116,2.7692
1117,2.7692
1118,2.7692
1119,2.7993
1120,2.7993
1121,2.7993
1122,2.7993
1123,2.7993
1124,2.7993
1125,2.7993
1126,2.7993
1127,2.7993
1128,2.7993
1129,2.7993
1130,2.7993
1131,2.7993
1132,2.7993
1133,2.7993
1134,2.7993
1135,2.7993
1136,2.7993
1137,2.7993
1138,2.7993
1139,2.7993
1140,2.7993
1141,2.7993
1142,2.7993
1143,2.7993
1144,2.7993
1145,2.7993
1146,2.7993
1147,2.7993
1148,2.7993
1149,2.7993
1150,2.7993
1151,2.7993
1152,2.7993
1153,2.7993
1154,2.7993
1155,2.7993
1156,2.7993
1157,2.7993
1158,2.7993
1159,2.7993
1160,2.7993
1161,2.8294
1162,2.8294
1163,2.8294
1164,2.8294
1165,2.8294
1166,2.8294
1167,2.8294
1168,2.8294
1169,2.8294
1170,2.8294
1171,2.8294
1172,2.8294
1173,2.8294
1174,2.8294
1175,2.8294
1176,2.8294
1177,2.8294
1178,2.8294
1179,2.8294
1180,2.8294
1181,2.8294
1182,2.8294
1183,2.8294
1184,2.8294
1185,2.8294
1186,2.8294
1187,2.8294
1188,2.8294
1189,2.8595
1190,2.8595
1191,2.8595
1192,2.8595
1193,2.8595
1194,2.8595
1195,2.8595
1196,2.8595
1197,2.8595
1198,2.8595
1199,2.8595
1200,2.8595
1201,2.8595
1202,2.8595
1203,2.8595
1204,2.8595
1205,2.8595
1206,2.8595
1207,2.8595
1208,2.8595
1209,2.8595
1210,2.8595
1211,2.8595
1212,2.8895999999999997
1213,2.8895999999999997
1214,2.8895999999999997
1215,2.8895999999999997
1216,2.8895999999999997
1217,2.8895999999999997
1218,2.8895999999999997
1219,2.8895999999999997
1220,2.8895999999999997
1221,2.8895999999999997
1222,2.8895999999999997
1223,2.8895999999999997
1224,2.8895999999999997
1225,2.8895999999999997
1226,2.8895999999999997
1227,2.8895999999999997
1228,2.8895999999999997
1229,2.8895999999999997
1230,2.8895999999999997
1231,2.9196999999999997
1232,2.9196999999999997
1233,2.9196999999999997
1234,2.9196999999999997
1235,2.9196999999999997
1236,2.9196999999999997
1237,2.9196999999999997
1238,2.9196999999999997
1239,2.9196999999999997
1240,2.9196999999999997
1241,2.9196999999999997
1242,2.9196999999999997
1243,2.9196999999999997
1244,2.9196999999999997
1245,2.9196999999999997
1246,2.9196999999999997
1247,2.9196999999999997
1248,2.9196999999999997
1249,2.9497999999999998
1250,2.9497999999999998
1251,2.9497999999999998
1252,2.9497999999999998
1253,2.9497999999999998
1254,2.9497999999999998
1255,2.9497999999999998
1256,2.9497999999999998
1257,2.9497999999999998
1258,2.9497999999999998
1259,2.9497999999999998
1260,2.9497999999999998
1261,2.9497999999999998
1262,2.9497999999999998
1263,2.9497999999999998
1264,2.9497999999999998
1265,2.9798999999999998
1266,2.9798999999999998
1267,2.9798999999999998
1268,2.9798999999999998
1269,2.9798999999999998
1270,2.9798999999999998
1271,2.9798999999999998
1272,2.9798999999999998
1273,2.9798999999999998
1274,2.9798999999999998
1275,2.9798999999999998
1276,2.9798999999999998
1277,2.9798999999999998
1278,2.9798999999999998
1279,2.9798999999999998
1280,3.01
1281,3.01
1282,3.01
1283,3.01
1284,3.01
1285,3.01
1286,3.01
1287,3.01
1288,3.01
1289,3.01
1290,3.01
1291,3.01
1292,3.01
1293,3.0401
1294,3.0401
1295,3.0401
1296,3.0401
1297,3.0401
1298,3.0401
1299,3.0401
1300,3.0401
1301,3.0401
1302,3.0401
1303,3.0401
1304,3.0401
1305,3.0401
1306,3.0401
1307,3.0702
1308,3.0702
1309,3.0702
1310,3.0702
1311,3.0702
1312,3.0702
1313,3.0702
1314,3.0702
1315,3.0702
1316,3.0702
1317,3.0702
1318,3.0702
1319,3.1003
1320,3.1003
1321,3.1003
1322,3.1003
1323,3.1003
1324,3.1003
1325,3.1003
1326,3.1003
1327,3.1003
1328,3.1003
1329,3.1003
1330,3.1003
1331,3.1304
1332,3.1304
1333,3.1304
1334,3.1304
1335,3.1304
1336,3.1304
1337,3.1304
1338,3.1304
1339,3.1304
1340,3.1304
1341,3.1304
1342,3.1304
1343,3.1605
1344,3.1605
1345,3.1605
1346,3.1605
1347,3.1605
1348,3.1605
1349,3.1605
1350,3.1605
1351,3.1605
1352,3.1605
1353,3.1605
1354,3.1906
1355,3.1906
1356,3.1906
1357,3.1906
1358,3.1906
1359,3.1906
1360,3.1906
1361,3.1906
1362,3.1906
1363,3.1906
1364,3.1906
1365,3.2207
1366,3.2207
1367,3.2207
1368,3.2207
1369,3.2207
1370,3.2207
1371,3.2207
1372,3.2207
1373,3.2207
1374,3.2207
1375,3.2508
1376,3.2508
1377,3.2508
1378,3.2508
1379,3.2508
1380,3.2508
1381,3.2508
1382,3.2508
1383,3.2508
1384,3.2508
1385,3.2809
1386,3.2809
1387,3.2809
1388,3.2809
1389,3.2809
1390,3.2809
1391,3.2809
1392,3.2809
1393,3.2809
1394,3.2809
1395,3.311
1396,3.311
1397,3.311
1398,3.311
1399,3.311
1400,3.311
1401,3.311
1402,3.311
1403,3.311
1404,3.311
1405,3.3411
1406,3.3411
1407,3.3411
1408,3.3411
1409,3.3411
1410,3.3411
1411,3.3411
1412,3.3411
1413,3.3411
1414,3.3411
1415,3.3712
1416,3.3712
1417,3.3712
1418,3.3712
1419,3.3712
1420,3.3712
1421,3.3712
1422,3.3712
1423,3.3712
1424,3.4013
1425,3.4013
1426,3.4013
1427,3.4013
1428,3.4013
1429,3.4013
1430,3.4013
1431,3.4013
1432,3.4013
1433,3.4314
1434,3.4314
1435,3.4314
1436,3.4314
1437,3.4314
1438,3.4314
1439,3.4314
1440,3.4314
1441,3.4314
1442,3.4615
1443,3.4615
1444,3.4615
1445,3.4615
1446,3.4615
1447,3.4615
1448,3.4615
1449,3.4615
1450,3.4615
1451,3.4915999999999996
1452,3.4915999999999996
1453,3.4915999999999996
1454,3.4915999999999996
1455,3.4915999999999996
1456,3.4915999999999996
1457,3.4915999999999996
1458,3.4915999999999996
1459,3.4915999999999996
1460,3.5216999999999996
1461,3.5216999999999996
1462,3.5216999999999996
1463,3.5216999999999996
1464,3.5216999999999996
1465,3.5216999999999996
1466,3.5216999999999996
1467,3.5216999999999996
1468,3.5216999999999996
1469,3.5517999999999996
1470,3.5517999999999996
1471,3.5517999999999996
1472,3.5517999999999996
1473,3.5517999999999996
1474,3.5517999999999996
1475,3.5517999999999996
1476,3.5517999999999996
1477,3.5818999999999996
1478,3.5818999999999996
1479,3.5818999999999996
1480,3.5818999999999996
1481,3.5818999999999996
1482,3.5818999999999996
1483,3.5818999999999996
1484,3.5818999999999996
1485,3.5818999999999996
1486,3.6119999999999997
1487,3.6119999999999997
1488,3.6119999999999997
1489,3.6119999999999997
1490,3.6119999999999997
1491,3.6119999999999997
1492,3.6119999999999997
1493,3.6119999999999997
1494,3.6420999999999997
1495,3.6420999999999997
1496,3.6420999999999997
1497,3.6420999999999997
1498,3.6420999999999997
1499,3.6420999999999997
1500,3.6420999999999997
1501,3.6420999999999997
1502,3.6420999999999997
1503,3.6721999999999997
1504,3.6721999999999997
1505,3.6721999999999997
1506,3.6721999999999997
1507,3.6721999999999997
1508,3.6721999999999997
1509,3.6721999999999997
1510,3.6721999999999997
1511,3.7022999999999997
1512,3.7022999999999997
1513,3.7022999999999997
1514,3.7022999999999997
1515,3.7022999999999997
1516,3.7022999999999997
1517,3.7022999999999997
1518,3.7022999999999997
1519,3.7323999999999997
1520,3.7323999999999997
1521,3.7323999999999997
1522,3.7323999999999997
1523,3.7323999999999997
1524,3.7323999999999997
1525,3.7323999999999997
1526,3.7323999999999997
1527,3.7624999999999997
1528,3.7624999999999997
1529,3.7624999999999997
1530,3.7624999999999997
1531,3.7624999999999997
1532,3.7624999999999997
1533,3.7624999999999997
1534,3.7624999999999997
1535,3.7925999999999997
1536,3.7925999999999997
1537,3.7925999999999997
1538,3.7925999999999997
1539,3.7925999999999997
1540,3.7925999999999997
1541,3.7925999999999997
1542,3.7925999999999997
1543,3.8226999999999998
1544,3.8226999999999998
1545,3.8226999999999998
1546,3.8226999999999998
1547,3.8226999999999998
1548,3.8226999999999998
1549,3.8226999999999998
1550,3.8226999999999998
1551,3.8528
1552,3.8528
1553,3.8528
1554,3.8528
1555,3.8528
1556,3.8528
1557,3.8528
1558,3.8528
1559,3.8829
1560,3.8829
1561,3.8829
1562,3.8829
1563,3.8829
1564,3.8829
1565,3.8829
1566,3.8829
1567,3.913
1568,3.913
1569,3.913
1570,3.913
1571,3.913
1572,3.913
1573,3.913
1574,3.913
1575,3.9431
1576,3.9431
1577,3.9431
1578,3.9431
1579,3.9431
1580,3.9431
1581,3.9431
1582,3.9732
1583,3.9732
1584,3.9732
1585,3.9732
1586,3.9732
1587,3.9732
1588,3.9732
1589,3.9732
1590,4.0033
1591,4.0033
1592,4.0033
1593,4.0033
1594,4.0033
1595,4.0033
1596,4.0033
1597,4.0033
1598,4.0334
1599,4.0334
1600,4.0334
1601,4.0334
1602,4.0334
1603,4.0334
1604,4.0334
1605,4.0334
1606,4.0635
1607,4.0635
1608,4.0635
1609,4.0635
1610,4.0635
1611,4.0635
1612,4.0635
1613,4.0936
1614,4.0936
1615,4.0936
1616,4.0936
1617,4.0936
1618,4.0936
1619,4.0936
1620,4.0936
1621,4.1237
1622,4.1237
1623,4.1237
1624,4.1237
1625,4.1237
1626,4.1237
1627,4.1237
1628,4.1538
1629,4.1538
1630,4.1538
1631,4.1538
1632,4.1538
1633,4.1538
1634,4.1538
1635,4.1538
1636,4.1839
1637,4.1839
1638,4.1839
1639,4.1839
1640,4.1839
1641,4.1839
1642,4.1839
1643,4.1839
1644,4.214
1645,4.214
1646,4.214
1647,4.214
1648,4.214
1649,4.214
1650,4.214
1651,4.2440999999999995
1652,4.2440999999999995
1653,4.2440999999999995
1654,4.2440999999999995
